cell_id,total_counts,mito_counts,mito_fraction,state_domain
GSM4916714_ND3_untreated_080818_plate1_C11_S179_rep1_NA,36280.0,3450.0,0.09509371554575524,D2
GSM4916715_ND3_untreated_080818_plate1_C12_S187_rep1_NA,1385038.0,218711.0,0.157909746880591,D2
GSM4916716_ND3_untreated_080818_plate1_C1_S99_rep1_NA,7454987.0,1367990.0,0.18349998464115364,D2
GSM4916717_ND3_untreated_080818_plate1_C2_S107_rep1_NA,224077.0,10699.0,0.047746979832825324,D2
GSM4916718_ND3_untreated_080818_plate1_C3_S115_rep1_NA,657359.0,27902.0,0.04244560430449724,D2
GSM4916719_ND3_untreated_080818_plate1_C4_S123_rep1_NA,1065542.0,38284.0,0.035929132779374255,D2
GSM4916720_ND3_untreated_080818_plate1_C5_S131_rep1_NA,481724.0,47450.0,0.09850038611321005,D2
GSM4916721_ND3_untreated_080818_plate1_C6_S139_rep1_NA,285917.0,10051.0,0.03515355855020863,D2
GSM4916722_ND3_untreated_080818_plate1_C7_S147_rep1_NA,766201.0,39227.0,0.05119674863384412,D2
GSM4916723_ND3_untreated_080818_plate1_C8_S155_rep1_NA,108365.0,6552.0,0.06046232639689937,D2
GSM4916724_ND3_untreated_080818_plate1_C9_S163_rep1_NA,513787.0,24574.0,0.047829158775912976,D2
GSM4916725_ND3_untreated_080818_plate1_D10_S172_rep1_NA,2661.0,53.0,0.019917324314167605,D1
GSM4916726_ND3_untreated_080818_plate1_D11_S180_rep1_NA,1383046.0,106631.0,0.07709866483110468,D2
GSM4916727_ND3_untreated_080818_plate1_D12_S188_rep1_NA,155992.0,11201.0,0.07180496435714652,D1
GSM4916728_ND3_untreated_080818_plate1_D1_S100_rep1_NA,265738.0,12583.0,0.047351150381202536,D2
GSM4916729_ND3_untreated_080818_plate1_D2_S108_rep1_NA,568170.0,21592.0,0.03800271045637749,D2
GSM4916730_ND3_untreated_080818_plate1_D3_S116_rep1_NA,74033.0,2951.0,0.03986060270419948,D2
GSM4916731_ND3_untreated_080818_plate1_D4_S124_rep1_NA,1587671.0,57603.0,0.03628144621902145,D2
GSM4916732_ND3_untreated_080818_plate1_D5_S132_rep1_NA,242726.0,13210.0,0.05442350634048269,D2
GSM4916733_ND3_untreated_080818_plate1_D6_S140_rep1_NA,489935.0,16416.0,0.03350648555420617,D2
GSM4916734_ND3_untreated_080818_plate1_D7_S148_rep1_NA,197853.0,11620.0,0.05873047161276301,D2
GSM4916735_ND3_untreated_080818_plate1_D8_S156_rep1_NA,661033.0,47365.0,0.07165300370783305,D2
GSM4916736_ND3_untreated_080818_plate1_D9_S164_rep1_NA,840667.0,55605.0,0.06614390715943412,D2
GSM4916737_ND3_untreated_080818_plate1_E10_S173_rep1_NA,649412.0,112191.0,0.17275781784137034,D2
GSM4916738_ND3_untreated_080818_plate1_E11_S181_rep1_NA,302657.0,20331.0,0.0671750529477263,D2
GSM4916739_ND3_untreated_080818_plate1_E12_S189_rep1_NA,243448.0,20182.0,0.08290066051066347,D2
GSM4916740_ND3_untreated_080818_plate1_E1_S101_rep1_NA,1554303.0,130965.0,0.08425963277430462,D2
GSM4916741_ND3_untreated_080818_plate1_E2_S109_rep1_NA,1163704.0,43337.0,0.0372405697668823,D2
