gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000183793,0.5735056542810986,0.5870348139255676,-0.0135291596444689,0.0024232633279483,0.1224489795918357,-0.1200257162638874,2268720.5,1.458957253488784e-36,2.335452073186616e-36,0.0135291596444689,False,ENSG00000183793,NPIPA5,protein_coding,False,False,False
ENSG00000259051,0.1058158319870759,0.1231692677070825,-0.0173534357200066,0.0016155088852988,0.053301320528211,-0.0516858116429122,2444952.0,1.2160043179710133e-15,1.2866964546908545e-15,0.0173534357200066,False,ENSG00000259051,HNRNPUP1,processed_pseudogene,False,False,False
ENSG00000236229,0.345718901453958,0.3649459783913567,-0.0192270769373986,0.0024232633279483,0.0888355342136848,-0.0864122708857365,2355610.5,7.904923415219853e-26,1.0487149706897256e-25,0.0192270769373986,False,ENSG00000236229,VEZF1P1,processed_pseudogene,False,False,False
ENSG00000248930,0.1082390953150242,0.1495798319327733,-0.041340736617749,0.0024232633279483,0.0523409363745496,-0.0499176730466013,2449683.5,7.938664882152949e-15,8.258844491391286e-15,0.041340736617749,False,ENSG00000248930,CHP1P1,processed_pseudogene,False,False,False
ENSG00000215003,0.0266558966074313,0.0693877551020405,-0.0427318584946091,0.0016155088852988,0.05594237695078,-0.0543268680654812,2438174.0,2.0263115967413023e-16,2.19111578651894e-16,0.0427318584946091,False,ENSG00000215003,RPL15P20,processed_pseudogene,False,True,False
ENSG00000270442,0.1308562197092084,0.1757503001200487,-0.0448940804108403,0.0048465266558966,0.0734693877551016,-0.068622861099205,2401909.5,1.4603976375579336e-19,1.709330556123646e-19,0.0448940804108403,False,ENSG00000270442,ENSG00000270442,processed_pseudogene,False,False,False
ENSG00000234851,0.0686591276252019,0.1142857142857137,-0.0456265866605117,0.0024232633279483,0.0693877551020404,-0.0669644917740921,2405872.0,7.138028669371044e-20,8.400395637399325e-20,0.0456265866605117,False,ENSG00000234851,RPL23AP42,processed_pseudogene,False,True,False
ENSG00000250728,0.1841680129240711,0.2340936374549827,-0.0499256245309116,0.0145395799676898,0.0542617046818725,-0.0397221247141827,2475552.5,3.275818104653495e-09,3.2921220442053904e-09,0.0499256245309116,False,ENSG00000250728,ENSG00000250728,processed_pseudogene,False,False,False
ENSG00000249271,0.0436187399030694,0.0967587034813921,-0.0531399635783226,0.0032310177705977,0.0542617046818725,-0.0510306869112748,2446757.0,6.394338010833485e-15,6.664034686612994e-15,0.0531399635783226,False,ENSG00000249271,HNRNPA1P44,processed_pseudogene,False,False,False
ENSG00000213650,0.0403877221324717,0.0950780312124845,-0.0546903090800128,0.0016155088852988,0.0537815126050418,-0.0521660037197429,2443857.5,9.382441731923022e-16,9.95478608387859e-16,0.0546903090800128,False,ENSG00000213650,ENSG00000213650,transcribed_processed_pseudogene,False,False,False
ENSG00000219773,0.0226171243941841,0.0775510204081629,-0.0549338960139788,0.0016155088852988,0.0547418967587032,-0.0531263878734043,2441257.0,4.584600547326013e-16,4.91674629652233e-16,0.0549338960139788,False,ENSG00000219773,RPSAP45,processed_pseudogene,False,True,False
ENSG00000236148,0.0646203554119547,0.1207683073229286,-0.0561479519109738,0.0032310177705977,0.0660264105642253,-0.0627953927936276,2416429.0,2.089581404507752e-18,2.383797712787225e-18,0.0561479519109738,False,ENSG00000236148,RPL23AP37,processed_pseudogene,False,True,False
