url,score_hint,contains_gpl23976,contains_annotation_hint,contains_downloadish_hint
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200321,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200376,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200659,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202792,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204977,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205810,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207443,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207937,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208299,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208302,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210018,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210245,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210273,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210277,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210596,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210680,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211222,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211837,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212370,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212375,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212682,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212838,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213554,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214180,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214901,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214944,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214948,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216814,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219217,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220826,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220838,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221256,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221269,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222478,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222927,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222933,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222934,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224464,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224847,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225810,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226079,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226257,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228405,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228867,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229203,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229738,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230026,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230132,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231287,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231417,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231532,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231533,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232680,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233604,1,False,False,False
